Species,Order,Parvorder,Family,Epoch,Epoch.Range,Epoch Time,Period,Width,no. specimens
Indopacetus pacificus,Cetacea,Odontoceti,Ziphiidae,Holocene,0-0.012,0.012,Quaternary,461.8,5
Mesoplodon bowdoini,Cetacea,Odontoceti,Ziphiidae,Holocene,0-0.012,0.012,Quaternary,376,1
Mesoplodon mirus,Cetacea,Odontoceti,Ziphiidae,Holocene,0-0.012,0.012,Quaternary,350,4
Delphinapterus leucas,Cetacea,Odontoceti,Monodontidae,Holocene,0-0.012,0.012,Quaternary,320,1
Mesoplodon hectori,Cetacea,Odontoceti,Ziphiidae,Holocene,0-0.012,0.012,Quaternary,257.5,2
Mesoplodon peruvianus,Cetacea,Odontoceti,Ziphiidae,Holocene,0-0.012,0.012,Quaternary,257,1
Mesoplodon perrini,Cetacea,Odontoceti,Ziphiidae,Holocene,0-0.012,0.012,Quaternary,251.3333333,3
Kogia sima,Cetacea,Odontoceti,Kogiidae,Holocene,0-0.012,0.012,Quaternary,247,1
Steno bredanensis,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,245.85,2
Lagenodelphis hosei,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,226,1
Sousa teuszii,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,217.1,1
Leucopleurus acutus,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,200,1
Phocoena dioptrica,Cetacea,Odontoceti,Phocoenidae,Holocene,0-0.012,0.012,Quaternary,168,1
Neophocaena phocaenoides,Cetacea,Odontoceti,Phocoenidae,Holocene,0-0.012,0.012,Quaternary,145.1,92
Stenella longirostris,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,135,3
Phocoena sinus,Cetacea,Odontoceti,Phocoenidae,Holocene,0-0.012,0.012,Quaternary,134.5,1
Ziphius cavirostris,Cetacea,Odontoceti,Ziphiidae,Pleistocene,0.012-2.58,2.58,Quaternary,390,1
Delphinus delphis,Cetacea,Odontoceti,Delphinidae,Pleistocene,0.012-2.58,2.58,Quaternary,181.3333333,3
Balaenoptera edeni,Cetacea,Mysteceti,Balaenopteridae,Pleistocene,0.012-2.58,2.58,Quaternary,1426.666667,3
Globicephala melas,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,465,3
Protoglobicephala mexicana,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,272,1
Tursiops truncatus,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,254.5,2
Arimidelphis sorbinii,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,250,1
Feresa attenuata,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,227,3
Tursiops aduncus,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,218.5,4
