Species,Order,Parvorder,Family,Epoch,Epoch.Range,Epoch Time,Period,Width,no. specimens
Acrophyseter deinodon,Cetacea,Odontoceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,466,1
Aetiocetus cotylalveus,Cetacea,Mysteceti,Aetiocetidae,Early Oligocene,28.45-33.9,33.9,Paleogene,316,1
Aetiocetus weltoni,Cetacea,Mysteceti,Aetiocetidae,Early Oligocene,28.45-33.9,33.9,Paleogene,287,1
Aglaocetus moreni,Cetacea,Mysteceti,NA,Early Miocene,17.1-23,23,Neogene,860,1
Aglaocetus patulus,Cetacea,Mysteceti,NA,Early Miocene,17.1-23,23,Neogene,774,1
Arimidelphis sorbinii,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,250,1
Artiocetus clavis,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,440,1
Aulophyseter morricei,Cetacea,Odontoceti,Physeteridae,Mid Miocene,11.2-17.1,17.1,Neogene,718,1
Australodelphis mirus,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,212,1
Babiacetus indicus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,299,1
Balaenoptera acutorostrata,Cetacea,Mysteceti,Balaenopteridae,Late Miocene,5.3-11.2,11.2,Neogene,406.5,2
Balaenoptera cortesii,Cetacea,Mysteceti,Balaenopteridae,Pliocene,2.58-5.3,5.3,Neogene,750,1
Balaenoptera davidsonii,Cetacea,Mysteceti,Balaenopteridae,Pliocene,2.58-5.3,5.3,Neogene,850,1
Balaenoptera edeni,Cetacea,Mysteceti,Balaenopteridae,Pleistocene,0.012-2.58,2.58,Quaternary,1426.666667,3
Balaenoptera musculus,Cetacea,Mysteceti,Balaenopteridae,Mid Miocene,11.2-17.1,17.1,Neogene,3100,1
Balaenoptera siberi,Cetacea,Mysteceti,Balaenopteridae,Mid Miocene,11.2-17.1,17.1,Neogene,1110,1
